-45.68333333,-70.26666667,168
-42.7,147.2666667,560
-40.35,175.65,965
-40.35,175.65,965
-35.36666667,149.2166667,560
-22.28333333,117.6666667,350
31.68333333,103.8833333,900
31.68333333,103.8833333,900
33.61666667,-117.75,325
34.96666667,-97.51666667,914
34.96666667,-97.51666667,967
34.96666667,-97.51666667,967.2
34.98333333,-97.51666667,914
35.9,-84.33333333,1322
36.81666667,-2.25,240
37,-2.433333333,240
37.08333333,-2.35,240
37.4,-122.2166667,579
37.4,-122.2333333,655
37.4,-122.2333333,660
37.61666667,101.2,600
39.08333333,-96.58333333,834
39.08333333,-96.58333333,835
39.08333333,-96.58333333,835
39.08333333,-96.58333333,835
39.08333333,-96.58333333,835
39.08333333,-96.58333333,835
39.25,-121.2833333,1130
39.73333333,-123.6166667,550
40.4,-86.9,495
40.83333333,-104.7166667,321
41.18333333,-104.9,384
41.18333333,-104.9,384
41.35,36.25,665
42.03333333,105.95,159
42.03333333,116.2833333,350
42.03333333,116.2833333,379
42.03333333,116.2833333,383
42.03333333,116.2833333,385.5
42.08333333,116.2833333,383
42.08333333,116.2833333,399
42.45,116.6666667,382.2
43.43333333,115.5333333,350
43.48333333,-119.7166667,300
44.01666667,116.4666667,346
44.48333333,117.2,350
45,-93,660
45.71666667,3.016666667,780
49.46666667,-112.9333333,386.3
50.85,5.9,240
